"COD_ACTUACION","DESCRIPCION","TIPO_ENTIDAD","COD_EXTERNO_ACTUACION"
"00","Sin actuación","UNKNOWN","00"
"01","Retención realizada","UNKNOWN","01"
"30","Sin actuación","AEAT","00"
"31","Traba realizada","AEAT","01"
"32","NIF no titular de la cuenta comunicada","AEAT","02"
"33","Inexistencia de saldo (saldo cero o negativo)","AEAT","03"
"34","Saldo no disponible","AEAT","04"
"35","Cuenta inexistente o cancelada","AEAT","05"
"36","Otros motivos","AEAT","06"
"37","Traba condicionada","AEAT","07"
"38","Cuenta excluida del procedimiento","AEAT","08"
"39","Saldo pignorado","AEAT","09"
"40","Situación concursal","AEAT","10"
"60","Sin actuación","NORMA63","00"
"61","Retención realizada","NORMA63","01"
"62","NIF no titular de la cuenta comunicada","NORMA63","02"
"63","Inexistencia de saldo (negativo, cero o insuficiente)","NORMA63","03"
"64","Con saldo, pero no disponible","NORMA63","04"
"65","Cuenta inexistente o cancelada","NORMA63","05"
"66","Clave de seguridad caducada","NORMA63","06"
"67","Otros motivos","NORMA63","07"
"68","Cuenta excluida del procedimiento","NORMA63","08"
"90","Sin actuación","CGPJ","00"
"91","Traba procesada totalmente","CGPJ","2000"
"92","Traba procesada parcialmente","CGPJ","2001"
"93","Cliente sin saldo","CGPJ","3001"
"94","Importe no válido","CGPJ","3007"
"95","Cliente sin saldo con otras posiciones","CGPJ","3008"
"96","Otros tipos de errores no especificados","CGPJ","3009"
