"COD_ENTIDAD_PRESENTADORA","DES_ENTIDAD","NIF_ENTIDAD","IDENTIFICADOR_ENTIDAD","IND_NORMA63","IND_FORMATO_AEAT","F_ULTIMA_MODIFICACION","USUARIO_ULT_MODIFICACION","COD_CUENTA_RECAUDACION","PREFIJO_FICHEROS","CODIGO_INE","IND_CGPJ","DIAS_RESPUESTA_F1","DIAS_RESPUESTA_F3","DIAS_RESPUESTA_F6","BIC","IBAN","CUENTA","IND_ACTIVO"
"19","Erneston","381","NULL","S","N","1573467010249","full","NULL","N","NULL","N","0","0","0","NULL","12","19","S"
"16","Testing 1763","123456789","NULL","S","N","1571324888308","aemb","NULL","1234567890","NULL","N","5","7","5","0123456789012345678901234567890123456789","0123456789012345678901234567890123456789","0123456789012345678901234567890123456789","N"
"22","Test","11111111h","NULL","S","N","1574942009357","aemb","NULL","091","NULL","N","2","1","2","12325689","ES549464846864879","12576598959798989899","N"
"23","Prueba","53030451H","NULL","N","N","1580829903483","full","NULL","011","NULL","S","0","0","0","11111111","32111111111111111","NULL","N"
"1","AEAT","57V","57V","N","S","1573466930562","full","NULL","AEAT","NULL","N","NULL","1","1","1","1234","1","S"
"2","TGSS","Q2827003A","NULL","S","N","1573468073207","full","NULL","TGSS","NULL","N","5","7","5","1","9354","1","S"
"5","CAMBRA OF. COMER´,IND. I NAV. BARCELONA","Q0873001B","NULL","S","N","1573466919454","full","NULL","CCB","NULL","N","NULL","NULL","NULL","NULL","NULL","a","N"
"6","AYUNTAMIENTO MADRID RECAUDACION EJECUTIV","P2807900B","NULL","S","N","20021230133430","NORMA4","21","AYM","280793","N","NULL","NULL","NULL","NULL","NULL","NULL","S"
"7","ORGANISMO DE GESTION TRIBUTARIA","P5800016G","NULL","S","N","1575991785382","aemb","NULL","ORGT","NULL","N","2","NULL","NULL","NULL","NULL","NULL","S"
"8","AJUNTAMENT DE BARCELONA - I.M.H.","P5801911H","NULL","S","N","20030131115900","NORMA4","NULL","AYB","080196","N","NULL","NULL","NULL","NULL","NULL","NULL","S"
"9","GENERALITAT DE CATALUNYA","S0811001G","NULL","S","N","20070327090000","NORMA4","41","GCAT","690004","N","NULL","NULL","NULL","NULL","NULL","NULL","S"
"10","A. TRIBUTARIA DE CATALUNYA","Q0801480E","NULL","S","N","1581581636701","aemb","NULL","ATC","NULL","N","2","3","4","NULL","NULL","NULL","S"
"11","CONSEJO GENERAL DEL PODER JUDICIAL","NULL","NULL","N","N","NULL","NULL","NULL","CGPJ","NULL","S","NULL","NULL","NULL","NULL","NULL","NULL","S"
"12","COMUNIDAD AUTONOMA DE MADRID","S7800001E","NULL","S","N","20150414154000","NULL","81","CMAD","280008","N","NULL","NULL","NULL","NULL","NULL","NULL","S"
"14","TestVall","S1000202E","NULL","S","N","1569910466605","full","NULL","25","NULL","N","3","2","6","256","ES212121221221223","252521252125412","N"
"15","Testing","1763","NULL","N","S","1570171786935","full","NULL","1763","NULL","N","0","0","0","V1","1763","Testing","N"
"13","valenti","12312312","NULL","N","N","1569827046054","full","NULL","AYB","NULL","S","0","6","0","NULL","NULL","NULL","N"
"17","Testing","176317631","NULL","N","S","1571384550881","aemb","NULL","1763","NULL","N","0","0","0","NULL","NULL","NULL","N"
"18","Testing","176317631","NULL","N","N","1571651652577","aemb","NULL","V2","NULL","S","0","0","0","1763","176317631763","176317631","N"
"21","test","111111112","NULL","N","N","1573746259213","aemb","NULL","1231231235","NULL","S","0","2","3","NULL","NULL","NULL","N"
